"expression","example_fr","example_en"
"l.u.-d.u.-d.u.-'","échantillonné","sampled"
"s.u.-f.u.-d.u.-'","perçu","perceived"
"b.u.-f.u.-d.u.-'","appartenance à un genre littéraire","belonging to a literary genre"
"t.u.-f.u.-d.u.-'","séquentiel","sequential"
"k.u.-f.u.-d.u.-'","saint","holy"
"m.u.-f.u.-d.u.-'","agréable","pleasant"
"n.u.-f.u.-d.u.-'","visuel","visual"
"d.u.-f.u.-d.u.-'","présent","present"
"f.u.-f.u.-d.u.-'","illusoire","illusory"
"l.u.-f.u.-d.u.-'","tactile | kinesthésique","tactile | kinesthetic"
"s.u.-l.u.-d.u.-'","obscur","obscure"
"b.u.-l.u.-d.u.-'","cité","cited"
"t.u.-l.u.-d.u.-'","photographié","photographed"
"k.u.-l.u.-d.u.-'","tombeau | mausolée","tomb | mausoleum"
"m.u.-l.u.-d.u.-'","rappelé à la mémoire","remembered"
"n.u.-l.u.-d.u.-'","retracé","retraced"
"d.u.-l.u.-d.u.-'","soupçonné","suspected"
"f.u.-l.u.-d.u.-'","âgé","aged"
"l.u.-l.u.-d.u.-'","matériel","material"
"s.i.-s.i.-'","commutateur","switch"
"b.i.-s.i.-'","atmosphère","atmosphere"
"t.i.-s.i.-'","véhicule","vehicle"
"k.i.-s.i.-'","recyclage","recycling"
"m.i.-s.i.-'","appât","lure"
"n.i.-s.i.-'","moteur","engine"
"d.i.-s.i.-'","circuit intégré","integrated circuit"
"f.i.-s.i.-'","prothèse","prosthesis"
"l.i.-s.i.-'","ouverture | porte | fenêtre","opening | door | window"
"s.i.-b.i.-'","studio multimédia","multimedia studio"
"b.i.-b.i.-'","cyberespace","cyberspace"
"t.i.-b.i.-'","document","document"
"k.i.-b.i.-'","système d'exploitation","operating system"
"m.i.-b.i.-'","parfum","perfume"
"n.i.-b.i.-'","éclairage","lighting"
"d.i.-b.i.-'","ordinateur","computer"
"f.i.-b.i.-'","drogue | médicament","drug | medecine"
"l.i.-b.i.-'","simulation","simulation"
"s.i.-t.i.-'","filtre","filter"
"b.i.-t.i.-'","médiathèque","media library"
"t.i.-t.i.-'","dispositif d'enregistrement","recording device"
"k.i.-t.i.-'","magasin | entrepôt","store | storage"
"m.i.-t.i.-'","dispositif de sécurité","security device"
"n.i.-t.i.-'","carburant","fuel"
"d.i.-t.i.-'","compteur | jauge","meter | gauge"
"f.i.-t.i.-'","graisse","fat"
"l.i.-t.i.-'","fermeture | sac","closure | bag"
"s.i.-k.i.-'","engrais","fertilizer"
"b.i.-k.i.-'","place publique","public place"
"t.i.-k.i.-'","capital","capital"
"k.i.-k.i.-'","bien économique","economic good"
"m.i.-k.i.-'","pièce d'un jeu","piece of a game"
"n.i.-k.i.-'","marchandise","merchandise"
"d.i.-k.i.-'","monnaie","money"
"f.i.-k.i.-'","nourriture | boisson","food | drink"
"l.i.-k.i.-'","terrain | champ","terrain | field"
"s.i.-m.i.-'","robot | mécanisme","robot | mechanism"
"b.i.-m.i.-'","bijou","jewel"
"t.i.-m.i.-'","trésor","treasure"
"k.i.-m.i.-'","terrain de jeu","playing ground"
"m.i.-m.i.-'","fétiche","fetish"
"n.i.-m.i.-'","travail rémunéré","paid work"
"d.i.-m.i.-'","prix | médaille","award | medal"
"f.i.-m.i.-'","sexe","sexuality"
"l.i.-m.i.-'","meuble","furniture"
"s.i.-n.i.-'","dispositif de réfrigération","cooling device"
"b.i.-n.i.-'","instrument de musique","musical instrument"
"t.i.-n.i.-'","dispositif de chauffage","heating device"
"k.i.-n.i.-'","atelier","workshop"
"m.i.-n.i.-'","instrument de nettoyage","cleaning device"
"n.i.-n.i.-'","énergie","energy"
"d.i.-n.i.-'","instrument de pilotage","steering device"
"f.i.-n.i.-'","arme","weapon"
"l.i.-n.i.-'","outil coupant | outil perçant","cutting tool | piercing tool"
"s.i.-d.i.-'","émetteur","transmitter"
"b.i.-d.i.-'","dispositif d'affichage","display device"
"t.i.-d.i.-'","horloge","clock"
"k.i.-d.i.-'","marché","market"
"m.i.-d.i.-'","cible","target"
"n.i.-d.i.-'","roue | levier","wheel | lever"
"d.i.-d.i.-'","données quantitatives","quantitative data"
"f.i.-d.i.-'","détecteur | capteur","detector | sensor"
"l.i.-d.i.-'","boussole","compass"
"s.i.-f.i.-'","système nerveux | système immunitaire","nervous system | immune system"
"b.i.-f.i.-'","système circulatoire | système respiratoire","circulatory system | repiratory system"
"t.i.-f.i.-'","code génétique | ADN","genetic code | DNA"
"k.i.-f.i.-'","bouche | système digestif","mouth | digestive system"
"m.i.-f.i.-'","peau","skin"
"n.i.-f.i.-'","main | pied","hand | foot"
"d.i.-f.i.-'","organe sensoriel","sensory organ"
"f.i.-f.i.-'","organisme","organism"
"l.i.-f.i.-'","muscle | os","muscle | os"
"s.i.-l.i.-'","articulation physique","articulation | joint"
"b.i.-l.i.-'","canal | voie","channel | way"
"t.i.-l.i.-'","ville","city"
"k.i.-l.i.-'","maison | bâtiment","house | building"
"m.i.-l.i.-'","textile | vêtement","textile | clothing"
"n.i.-l.i.-'","colle | joint","glue | joint"
"d.i.-l.i.-'","lieu | site","place | site"
"f.i.-l.i.-'","cadre | charpente","frame | framework"
"l.i.-l.i.-'","réseau","network"
"M:M:.i.-M:M:.i.-t.u.-'","qualités techniques","technical qualities"
"s.i.-s.i.-t.u.-'","allumé","switched on"
"b.i.-s.i.-t.u.-'","atmosphérique","atmospheric"
"t.i.-s.i.-t.u.-'","en transit","in transit"
"k.i.-s.i.-t.u.-'","à recycler","to be recycled"
"m.i.-s.i.-t.u.-'","piègé","trapped"
"n.i.-s.i.-t.u.-'","en mouvement","in motion"
"d.i.-s.i.-t.u.-'","électronique | photonique","electronics | photonics"
"f.i.-s.i.-t.u.-'","assisté","assisted"
"l.i.-s.i.-t.u.-'","ouvert","open"
"s.i.-b.i.-t.u.-'","multimédia","multimedia"
"b.i.-b.i.-t.u.-'","ubiquitaire","ubiquitous"
"t.i.-b.i.-t.u.-'","informatif","informative"
"k.i.-b.i.-t.u.-'","logiciel","software"
"m.i.-b.i.-t.u.-'","parfumé","perfumed"
"n.i.-b.i.-t.u.-'","éclairé","lighted"
"d.i.-b.i.-t.u.-'","numérique","digital"
"f.i.-b.i.-t.u.-'","médicamenté","medicated"
"l.i.-b.i.-t.u.-'","simulé","simulated"
"s.i.-t.i.-t.u.-'","filtré","filtered"
"b.i.-k.i.-t.u.-'","monumental","monumental"
"t.i.-k.i.-t.u.-'","stocké","stocked"
"k.i.-k.i.-t.u.-'","économique","economic"
"m.i.-k.i.-t.u.-'","ludique","playful"
"n.i.-k.i.-t.u.-'","à vendre","for sale"
"d.i.-k.i.-t.u.-'","monétaire","monetary"
"f.i.-k.i.-t.u.-'","comestible | potable","edible | drinkable"
"l.i.-k.i.-t.u.-'","immobilier | foncier","real-estate | land"
"s.i.-m.i.-t.u.-'","mécanique","mechanical"
"b.i.-m.i.-t.u.-'","brillant","bright"
"t.i.-m.i.-t.u.-'","précieux","precious"
"k.i.-m.i.-t.u.-'","symbole de jeu","play symbol"
"m.i.-m.i.-t.u.-'","fétichisé","fetishized"
"n.i.-m.i.-t.u.-'","valeur ajoutée","added value"
"d.i.-m.i.-t.u.-'","primé | décoré","awarded | decorated"
"f.i.-m.i.-t.u.-'","sexuel","sexual"
"l.i.-m.i.-t.u.-'","meublé","furnished"
"s.i.-n.i.-t.u.-'","réfrigéré","refrigerated"
"b.i.-n.i.-t.u.-'","virtuose","virtuoso"
"t.i.-n.i.-t.u.-'","chauffé","heated"
"k.i.-n.i.-t.u.-'","assemblé | manufacturé","assembled | manufactured"
"m.i.-n.i.-t.u.-'","nettoyé","cleaned"
"n.i.-n.i.-t.u.-'","source d'énergie","energy source"
"d.i.-n.i.-t.u.-'","piloté","steered"
"f.i.-n.i.-t.u.-'","armé","armed"
"l.i.-n.i.-t.u.-'","découpé | perçé","cut | pierced"
"s.i.-d.i.-t.u.-'","émis | diffusé","emitted | broadcasted"
"b.i.-d.i.-t.u.-'","affiché","displayed"
"t.i.-d.i.-t.u.-'","chronométré","measured time"
"k.i.-d.i.-t.u.-'","prix","price"
"m.i.-d.i.-t.u.-'","ciblé","targeted"
"n.i.-d.i.-t.u.-'","rapide","quick"
"d.i.-d.i.-t.u.-'","quantifié","quantified"
"f.i.-d.i.-t.u.-'","détecté | capté","detected | sensed"
"l.i.-d.i.-t.u.-'","orienté","oriented"
"s.i.-f.i.-t.u.-'","reconnu","recognized"
"b.i.-f.i.-t.u.-'","distribué","distributed"
"t.i.-f.i.-t.u.-'","génétique","genetic"
"k.i.-f.i.-t.u.-'","digéré","digested"
"m.i.-f.i.-t.u.-'","caressé","caressed"
"n.i.-f.i.-t.u.-'","pris | possédé","taken | possesed"
"d.i.-f.i.-t.u.-'","perçu","perceived"
"f.i.-f.i.-t.u.-'","organique","organic"
"l.i.-f.i.-t.u.-'","puissant | agile","powerful | agile"
"s.i.-l.i.-t.u.-'","articulé","articulated"
"b.i.-l.i.-t.u.-'","relié","linked"
"t.i.-l.i.-t.u.-'","urbain","urban"
"k.i.-l.i.-t.u.-'","bâti","built"
"m.i.-l.i.-t.u.-'","vêtu | recouvert","clothed | covered"
"n.i.-l.i.-t.u.-'","collé | joint","glued | joint"
"d.i.-l.i.-t.u.-'","adresse | indicateur","address | indicator"
"f.i.-l.i.-t.u.-'","soutenu","supported"
"l.i.-l.i.-t.u.-'","en réseau","networked"
"M:M:.-S:.A:.-'","sud abstrait","abstract south"
"M:M:.-B:.U:.-'","est abstrait","abstract east"
"M:M:.-B:.A:.-'","ouest abstrait","abstract west"
"M:M:.-T:.U:.-'","zénith abstrait","abstract zenith"
"M:M:.-T:.A:.-'","nadir abstrait","abstract nadir"
"s.-M:.O:.-'","polarité naturelle","natural polarity"
"s.-S:.U:.-'","froid","cold"
"s.-S:.A:.-'","chaud","hot"
"s.-B:.U:.-'","croissant | augmentant","growing | increasing | waxing"
"s.-B:.A:.-'","décroissant | diminuant","decreasing | diminishing | waning"
"s.-T:.U:.-'","sec","dry"
"s.-T:.A:.-'","humide","wet"
"b.-M:.O:.-'","couleur","color"
"b.-S:.U:.-'","bleu","blue"
"b.-S:.A:.-'","jaune","yellow"
"b.-B:.U:.-'","vert","green"
"b.-B:.A:.-'","rouge","red"
"b.-T:.U:.-'","blanc","white"
"b.-T:.A:.-'","noir","black"
"t.-M:.O:.-'","saison","season"
"t.-S:.U:.-'","hiver","winter"
"t.-S:.A:.-'","été","summer"
"t.-B:.U:.-'","printemps","spring (season)"
"t.-B:.A:.-'","automne","autumn | fall (season)"
"t.-T:.U:.-'","saison sèche","dry season"
"t.-T:.A:.-'","saison pluvieuse","rainy season"
"k.-M:.O:.-'","polarité sensible","sensible polarity"
"k.-S:.U:.-'","obscur","dark"
"k.-S:.A:.-'","lumineux","luminous"
"k.-B:.U:.-'","aigu","high-pitched"
"k.-B:.A:.-'","grave","low-pitched"
"k.-T:.U:.-'","léger","light (weight)"
"m.-M:.O:.-'","émotion","emotion"
"m.-S:.U:.-'","peur","fear"
"m.-S:.A:.-'","surprise | étonnement","surprise | wonder"
"m.-B:.U:.-'","désir","desire"
"m.-B:.A:.-'","colère","anger"
"m.-T:.U:.-'","joie","joy"
"m.-T:.A:.-'","tristesse","sadness"
"n.-M:.O:.-'","élément","element"
"n.-S:.U:.-'","terre","earth"
"n.-S:.A:.-'","feu","fire"
"n.-B:.A:.-'","métal","metal"
"n.-T:.U:.-'","air | vent","air | wind"
"n.-T:.A:.-'","eau","water"
"d.-M:.O:.-'","qualité tactile","tactile quality"
"d.-S:.U:.-'","dur | rigide","hard | rigid"
"d.-S:.A:.-'","mou | souple","soft | supple"
"d.-B:.U:.-'","rugueux","rough"
"d.-B:.A:.-'","lisse","smooth"
"d.-T:.U:.-'","craquant","crisp"
"d.-T:.A:.-'","visqueux | gluant","viscous | slimy"
"f.-M:.O:.-'","goût","taste"
"f.-S:.U:.-'","salé","salty"
"f.-S:.A:.-'","sucré","sweet"
"f.-B:.U:.-'","acide","sour | acidic"
"f.-B:.A:.-'","amer","bitter"
"f.-T:.U:.-'","(goût) piquant","spicy"
"l.-M:.O:.-'","direction spatiale","spatial direction"
"l.-S:.U:.-'","nord spatial","spatial north"
"l.-S:.A:.-'","sud spatial","spatial south"
"l.-B:.U:.-'","est spatial","spatial east"
"l.-B:.A:.-'","ouest spatial","spatial west"
"l.-T:.U:.-'","zénith spatial","spatial zenith"
"l.-T:.A:.-'","nadir spatial","spatial nadir"
"l.o.-k.o.-s.u.-'","territorial","territorial"
"b.i.-t.i.-t.u.-'","support d'information","information medium"
"t.i.-t.i.-t.u.-'","enregistré","recorded"
"k.i.-t.i.-t.u.-'","entreposé","stored"
"m.i.-t.i.-t.u.-'",NULL,"protected"
"n.i.-t.i.-t.u.-'","consommé","consumed"
"d.i.-t.i.-t.u.-'","compté | mesuré","numbered | measured"
"f.i.-t.i.-t.u.-'","nourri","fed"
"l.i.-t.i.-t.u.-'","fermé | emballé","closed | packed"
"s.i.-k.i.-t.u.-'","récolté","harvested"
"O:+M:","réseaux d'intelligence collective","collective intelligence networks"
"E:+O:+M:","réseaux fictifs d'intelligence collective","fictitious networks of collective intelligence"
"U:S:E:.","savoir","to know"
"U:B:E:.","vouloir","to want"
"U:T:E:.","être capable","to be able"
"A:S:E:.","énoncer","to state"
"A:T:E:.","faire","to do"
"A:B:E:.","s'engager","to commit oneself"
"S:U:E:.","mutation de signifiant","signifier mutation"
"B:U:E:.","mutation de signifié","signified mutation"
"T:U:E:.","mutation de référent","referent mutation"
"S:A:E:.","mutation documentaire","document mutation"
"B:A:E:.","mutation personnelle","personal mutation"
"T:A:E:.","mutation matérielle","material mutation"
"S:S:E:.","pensée","thought"
"S:B:E:.","langage","language"
"S:T:E:.","mémoire","memory"
"B:S:E:.","société","society"
"B:B:E:.","affect","affect"
"T:S:E:.","vérité","truth"
"T:B:E:.","vie","life"
"T:T:E:.","espace","space"
"O:O:.j.-","gouverner le système symbolique","to govern the symbolic system"
"O:O:.t.-","fournir des ressources à l'action par la maîtrise du temps","to provide resources for action through time mastering"
"u.O:M:.-","performer sur une base expressive","to perform on an expressive basis"
"O:M:.s.-","négliger la pensée","to neglect thought"
"O:M:.b.-","mésuser du langage","to misuse language"
"O:M:.t.-","agir à contretemps","to act off the beat"
"O:M:.k.-","défaire la société","to undo society"
"O:M:.m.-","mépriser les émotions","to despise emotions"
"O:M:.n.-","rétrécir le monde","to shrink the world"
"O:M:.d.-","négliger l'exactitude","to neglect exactitude"
"O:M:.f.-","affaiblir le corps","to weaken the body"
"O:M:.l.-","négliger l'espace","to neglect space"
"B:T:E:.","monde","world"
"A:M:.F:.-","bouger subjectivement","to move subjectively"
"a.F:.-","accomplir une fonction métabolique","to perform a metabolic function"
"i.F:.-","accomplir un mouvement énergique","to perform a physical movement energetically"
"p.O:O:.-","changement d'objet génératif","generative object change"
"p.wo.-","transformation des intérêts | transformation de l'attention","transition of interests | transition of attention"
"p.wa.-","changement d'objectif","change of objective"
"p.wu.-","création d'un objectif | destruction d'un objectif","creation of an objective | destruction of an objective"
"p.we.-","conséquence irréversible","irreversible consequence"
"M:O:.j.-","transformation dans le savoir","transformation in knowledge"
"j.M:O:.-","transformation sur une base de savoir","transformation on knowledge basis"
"M:M:.wa.-","sources pratiques du sens","practical sources of meaning"
"M:M:.wu.-","sources esthétiques du sens","aesthetic sources of meaning"
"M:M:.wo.-","sources intellectuelles du sens","intellectual sources of meaning"
"M:M:.we.-","sources du sens dans la durabilité","sources of meaning in sustainability"
"M:M:.U:M:.-","base du développement humain dans le virtuel","basis of human development into the virtual"
"M:M:.A:M:.-","base du développement humain dans l'actuel","basis of human development into the actual"
"b.O:M:.-","langage actualisé","language actualized"
"t.O:M:.-","mémoire actualisée","memory actualized"
"k.O:M:.-","société actualisée","society actualized"
"m.O:M:.-","affect actualisé","affect actualized"
"n.O:M:.-","monde actualisé","world actualized"
"d.O:M:.-","vérité actualisée","truth actualized"
"f.O:M:.-","vie actualisée","life actualized"
"l.O:M:.-","espace actualisé","space actualized"
"E:F:.O:O:.-","pronom","pronoun"
"E:F:.wu.-","genre masculin","masculine gender"
"E:F:.we.-","genre féminin","feminine gender"
"E:S:.wo.-","je | moi","I | me"
"E:B:.wo.-","tu | toi","you (singular)"
"E:T:.wo.-","il | lui","it"
"E:B:.wa.-","vous","you (plural)"
"E:T:.wa.-","ils | eux","them"
"E:T:.wu.-","il | lui | eux (masculin)","he | him | them (masculine)"
"E:F:.A:M:.-","mode performatif","performative mood"
"E:F:.a.-","mode promissif","promissive mood"
"E:F:.i.-","mode impératif","imperative mood"
"E:M:.S:M:.-","commencement","beginning"
"E:M:.B:M:.-","intermédiaire","intermediary"
"E:M:.T:M:.-","terminaison","termination"
"O:M:.o.-we.h.-'","perfectionner l'intelligence collective en augmentant la gouvernance","to improve collective intelligence by augmenting governance"
"O:M:.e.-we.h.-'","perfectionner l'intelligence collective en augmentant le pouvoir","to improve collective intelligence by augmenting power"
"i.a.-we.h.-'","entretenir l'infrastructure","Maintain infrastructure"
"M:M:.o.-O:M:.O:M:.-s.y.-'","connaissances organisées (A)","organized knowledge (A)"
"s.o.-y.y.-s.y.-'","épistémologie","epistemology"
"b.o.-y.y.-s.y.-'","diffusion | vulgarisation","diffusion | popularization"
"t.o.-y.y.-s.y.-'","histoire de l'art | histoire des sciences","history of art | history of sciences"
"k.o.-y.y.-s.y.-'","sociologie de l'art | sociologie des sciences","sociology of art | sociology of sciences"
"d.o.-y.y.-s.y.-'","pensée réflexive","reflexive thought"
"f.o.-y.y.-s.y.-'","esthétique","esthetics"
"l.o.-y.y.-s.y.-'","muséologie","museology"
"s.o.-o.o.-s.y.-'","sciences du management","management sciences"
"b.o.-o.o.-s.y.-'","communication sociale","social communication"
"t.o.-o.o.-s.y.-'","mémoire institutionnelle","institutional memory"
"k.o.-o.o.-s.y.-'","science politique","political science"
"m.o.-o.o.-s.y.-'","critique sociale","social criticism"
"n.o.-o.o.-s.y.-'","sciences juridiques","legal science"
"d.o.-o.o.-s.y.-'","comptabilité","accounting"
"f.o.-o.o.-s.y.-'","gestion des ressources humaines","human resources management"
"l.o.-o.o.-s.y.-'","organigrammes | annuaires","organization charts | directories"
"s.o.-e.e.-s.y.-'","ergonomie","ergonomics"
"b.o.-e.e.-s.y.-'","sciences de l'éducation & de la formation","education & training studies"
"k.o.-e.e.-s.y.-'","socio-linguistique","socio-linguistics"
"m.o.-e.e.-s.y.-'","orientation professionnelle","professional orientation"
"n.o.-e.e.-s.y.-'","taxonomie des compétences","skill taxonomy"
"d.o.-e.e.-s.y.-'","docimologie | science des tests","docimology | science of testing"
"f.o.-e.e.-s.y.-'","éducation physique","physical education"
"s.o.-u.u.-s.y.-'","sémiologie","semiology"
"b.o.-u.u.-s.y.-'","linguistique","linguistics"
"t.o.-u.u.-s.y.-'","histoire de la communication","history of communication"
"k.o.-u.u.-s.y.-'","socio-linguistique","socio-linguistics"
"m.o.-u.u.-s.y.-'","philologie","philology"
"n.o.-u.u.-s.y.-'","lexicologie | dictionnaires","lexicology | dictionaries"
"d.o.-u.u.-s.y.-'","sciences de la documentation","documentation science"
"f.o.-u.u.-s.y.-'","musicologie","musicology"
"l.o.-u.u.-s.y.-'","cartographie sémantique","semantic cartography"
"s.o.-a.a.-s.y.-'","sociologie","sociology"
"b.o.-a.a.-s.y.-'","psychologie sociale","social psychology"
"t.o.-a.a.-s.y.-'","généalogie","genealogy"
"k.o.-a.a.-s.y.-'","études de la société civile","civil society studies"
"m.o.-a.a.-s.y.-'","psychologie","psychology"
"n.o.-a.a.-s.y.-'","biographies | journaux","biographies | journals"
"d.o.-a.a.-s.y.-'","statistiques","statistics"
"f.o.-a.a.-s.y.-'","démographie","demographics"
"l.o.-a.a.-s.y.-'","cartographie des réseaux sociaux","social network cartography"
"M:M:.o.-O:M:.O:M:.-'","objets de connaissance (A)","objects of knowledge (A)"
"m.o.-y.y.-s.y.-'","critique de l'art | critique des sciences","art critic | science critic"
"t.o.-e.e.-s.y.-'","histoire des métiers","history of crafts | history of trades"
"M:M:.o.-M:O:.M:O:.-s.y.-'","connaissances organisées (B)","organized knowledge (B)"
"M:M:.o.-M:O:.M:O:.-'","objets de connaissance (B)","objects of knowledge (B)"
"t.o.-m.o.-'","espoir","hope"
"k.o.-n.o.-'","justice","justice"
"f.o.-b.o.-'","geste | coup","gesture | blow"
"l.o.-b.o.-'","composition","composition"
"l.o.-f.o.-'","habitation","dwelling"
"d.o.-f.o.-s.u.-'","empirique","empirical"
"M:M:.e.-M:M:.A:M:.-wa.e.-'","compétences","abilities"
"s.e.-m.u.-wa.e.-'","(compétence en) jeu de théâtre","(competence in) theatre play"
"m.a.-m.a.-f.o.-'","familier","familiar"
"M:M:.a.-M:M:.a.-f.o.-'","acteurs sociaux","social actors"
"M:M:.a.-M:M:.a.-'","fonctions sociales","social functions"
"M:M:.i.-M:M:.i.-'","fonctions techniques","technical functions"
"n.-B:.U:.-'","bois","wood"
"k.-T:.A:.-'","lourd","heavy"
"f.-T:.A:.-'","fade","bland"
"l.o.-e.e.-s.y.-'","marché du travail","labour market"
"m.o.r.-e.t.e.-s.t.s.-'",NULL,NULL
"m.e.-f.a.-wa.e.-'","to provide welfare (translate please)","to provide welfare"
"(O:+M:)(O:+M:).","Fonctions culturelles","Symbolic functions"
"S:M:.e.-M:M:.u.-(E:.- + wa.e.-)' + B:M:.e.-M:M:.a.-(E:.- + wa.e.-)' + T:M:.e.-M:M:.i.-(E:.- + wa.e.-)'",NULL,"Abilities (new)"
"U:M:.O:M:.-we.h.-'",NULL,"improve collective intelligence by virtual"
"O:M:O:.M:.M:.-",NULL,NULL
"O:M:O:.S:.M:.-",NULL,"test2"
"M:M:.-O:M:.- (E:.- + s.y.-)'     +     M:M:.-M:O:.- (E:.- + s.y.-)'",NULL,NULL
"M:M:.-O:M:.- (E:.- + s.y.-)'  + M:M:.-M:O:.- (E:.- + s.y.-)'",NULL,NULL
"A:M:.O:M:.-we.h.-'",NULL,"improve collective intelligence by actual"
"s.-A:.O:.O:.-M:.O:.-'","immanence au sujet noétique",NULL
"s.-U:.O:.O:.-M:.O:.-'","Transcendance au sujet noétique",NULL
"s.-A:.A:.O:.-M:.O:.-'","niveau des idées",NULL
"s.-A:.U:.O:.-M:.O:.-'","niveau des actes",NULL
"s.-U:.A:.O:.-M:.O:.-'","niveau des objets",NULL
"s.-U:.U:.O:.-M:.O:.-'","niveau des faits",NULL
"s.-O:.O:.O:.-S:.O:.-'","raison",NULL
"s.-O:.O:.O:.-B:.O:.-'","jugement",NULL
"s.-O:.O:.O:.-T:.O:.-'","imagination",NULL
"s.-O:.O:.O:.-S:.U:.-'","raison essentielle",NULL
"s.-O:.O:.O:.-S:.A:.-'","raison existentielle",NULL
"s.-O:.O:.O:.-B:.U:.-'","jugement qualitatif",NULL
"s.-O:.O:.O:.-B:.A:.-'","jugement quantitatif",NULL
"s.-O:.O:.O:.-T:.U:.-'","imagination de fond",NULL
"s.-O:.O:.O:.-T:.A:.-'","imagination de figure",NULL
"s.-O:.O:.-M:.O:.-'","Niveaux et fonctions noétiques","Noetic levels and functions"
"s.-A:.O:.-M:.O:.-'","immanence noétique","noetic immanence"
"s.-U:.O:.-M:.O:.-'","transcendance noétique","noetic transcendance"
"s.-O:.O:.-S:.O:.-'","raison","reason"
"s.-O:.O:.-B:.O:.-'","jugement","judgement"
"s.-O:.O:.-T:.O:.-'","imagination","imagination"
"s.-O:.O:.-S:.U:.-'","raison essentielle","essential reason"
"s.-O:.O:.-S:.A:.-'","raison existentielle","existential reason"
"s.-O:.O:.-B:.U:.-'","jugement qualitatif","qualitative judgement"
"s.-O:.O:.-B:.A:.-'","jugement quantitatif","quantitative judgement"
"s.-O:.O:.-T:.U:.-'","imagination matérielle","material imagination"
"s.-O:.O:.-T:.A:.-'","imagination formelle","formal imagination"
"s.-A:.A:.-M:.O:.-'","niveau des idées","ideas level"
"s.-A:.U:.-M:.O:.-'","niveau des actes","acts level"
"s.-U:.A:.-M:.O:.-'","niveau des objets","objects level"
"s.-U:.U:.-M:.O:.-'","niveau des faits","facts level"
"s.-U:.U:.-S:.U:.-'","énonciation: sens","enunciation: meaning"
"s.-U:.U:.-S:.A:.-'","énonciation: valeur de vérité","enunciation: truth value"
"s.-U:.U:.-B:.U:.-'","performance: pertinence","performance: relevance"
"s.-U:.U:.-B:.A:.-'","performance: bonheur","performance: felicity"
"s.-U:.U:.-T:.U:.-'","projet: conditions","project: conditions"
"s.-U:.U:.-T:.A:.-'","project: causes et effets","project: causes and effects"
"s.-A:.A:.-S:.U:.-'","concept: contenu sémantique","concept: semantic content"
"s.-A:.A:.-S:.A:.-'","concept: forme logique","concept: logical form"
"s.-A:.A:.-B:.U:.-'","affect: tropisme","affect: tropism"
"s.-A:.A:.-B:.A:.-'","affect: intensité","affect: intensity"
"s.-A:.A:.-T:.U:.-'","percept: modalité","percept: modality"
"s.-A:.A:.-T:.A:.-'","percept: qualia","percept: qualia"
"s.-U:.A:.-S:.U:.-'","concept: essence","concept: essence"
"s.-U:.A:.-S:.A:.-'","concept: existence","concept: existence"
"s.-U:.A:.-B:.U:.-'","affect: qualité","affect: quality"
"s.-U:.A:.-B:.A:.-'","affect: importance","affect: weight"
"s.-U:.A:.-T:.U:.-'","percept: fond","percept: background"
"s.-U:.A:.-T:.A:.-'","percept: figure","percept: foreground"
"s.-A:.U:.-S:.U:.-'","énonciation: force illocutoire","enunciation: illocutory force"
"s.-A:.U:.-S:.A:.-'","énonciation: force locutoire","enunciation: locutory force"
"s.-A:.U:.-B:.U:.-'","performance: choix","performance: choice"
"s.-A:.U:.-B:.A:.-'","performance: exécution","performance: carrying out"
"s.-A:.U:.-T:.U:.-'","projet: stratégie","project: strategy"
"s.-A:.U:.-T:.A:.-'","projet: tactique","project: tactics"
"(O:+M:)(U:+M:).",NULL,"groumph"
