"I:","information in general","information en general"
"k.-S:.A:.-í","luminous","lumineux"
"k.-B:.U:.-í","high-pitched","aigu"
"k.-B:.A:.-í","low-pitched","grave"
"k.-T:.U:.-í","light (weight)","l√©ger"
"m.-M:.O:.-í","emotion","√©motion"
"m.-S:.U:.-í","fear","peur"
"m.-S:.A:.-í","surprise | wonder","surprise | √©tonnement"
"m.-B:.U:.-í","desire","d√©sir"
"m.-B:.A:.-í","anger","col√®re"
"m.-T:.U:.-í","joy","joie"
"m.-T:.A:.-í","sadness","tristesse"
"n.-M:.O:.-í","element","√©l√©ment"
"n.-S:.U:.-í","earth","terre"
"n.-S:.A:.-í","fire","feu"
"n.-B:.A:.-í","metal","m√©tal"
"n.-T:.U:.-í","air | wind","air | vent"
"n.-T:.A:.-í","water","eau"
"d.-M:.O:.-í","tactile quality","qualit√© tactile"
"d.-S:.U:.-í","hard | rigid","dur | rigide"
"d.-S:.A:.-í","soft | supple","mou | souple"
"d.-B:.U:.-í","rough","rugueux"
"d.-B:.A:.-í","smooth","lisse"
"d.-T:.U:.-í","crisp","craquant"
"d.-T:.A:.-í","viscous | slimy","visqueux | gluant"
"f.-M:.O:.-í","taste","go√ªt"
"f.-S:.U:.-í","salty","sal√©"
"f.-S:.A:.-í","sweet","sucr√©"
"f.-B:.U:.-í","sour | acidic","acide"
"f.-B:.A:.-í","bitter","amer"
"f.-T:.U:.-í","spicy","(go√ªt) piquant"
"l.-M:.O:.-í","spatial direction","direction spatiale"
"l.-S:.U:.-í","spatial north","nord spatial"
"l.-S:.A:.-í","spatial south","sud spatial"
"l.-B:.U:.-í","spatial east","est spatial"
"l.-B:.A:.-í","spatial west","ouest spatial"
"l.-T:.U:.-í","spatial zenith","z√©nith spatial"
"l.-T:.A:.-í","spatial nadir","nadir spatial"
"l.o.-k.o.-s.u.-í","territorial","territorial"
"b.i.-t.i.-t.u.-í","information medium","support díinformation"
"t.i.-t.i.-t.u.-í","recorded","enregistr√©"
"k.i.-t.i.-t.u.-í","stored","entrepos√©"
"m.i.-t.i.-t.u.-í","secure | protected","s√ªr | s√©curitaire | prot√©g√©"
"n.i.-t.i.-t.u.-í","consumed","consomm√©"
"d.i.-t.i.-t.u.-í","numbered | measured","compt√© | mesur√©"
"f.i.-t.i.-t.u.-í","fed","nourri"
"l.i.-t.i.-t.u.-í","closed | packed","ferm√© | emball√©"
"s.i.-k.i.-t.u.-í","harvested","r√©colt√©"
"O:O:.j.-","govern symbolic systems","gouverner les syst√®mes symboliques"
"O:O:.t.-","provide resources for action through time mastering","fournir des ressources √† líaction par la ma√Ætrise du temps"
"u.O:M:.-","perform on an expressive basis","performer sur une base expressive"
"O:M:.s.-","neglect thought","n√©gliger la pens√©e"
"O:M:.b.-","misuse language","m√©suser du langage"
"O:M:.t.-","act off the beat","agir √† contretemps"
"O:M:.k.-","undo society","d√©faire la soci√©t√©"
"O:M:.m.-","despise emotions","m√©priser les √©motions"
"O:M:.n.-","shrink the world","r√©tr√©cir le monde"
"O:M:.d.-","neglect exactitude","n√©gliger líexactitude"
"O:M:.f.-","weaken the body","affaiblir le corps"
"O:M:.l.-","neglect space","n√©gliger líespace"
"A:M:.F:.-","move subjectively","bouger subjectivement"
"a.F:.-","perform a metabolic function","accomplir une fonction m√©tabolique"
"i.F:.-","perform a physical movement energetically","accomplir un mouvement √©nergique"
"p.O:O:.-","generative object change","changement díobjet g√©n√©ratif"
"p.wo.-","shift of interests / of attention","d√©placement des int√©r√™ts / de líattention"
"p.wa.-","change of goal","changement de but"
"p.wu.-","gain / loss of discernment","gain / perte de discernement"
"p.we.-","irreversible consequence","cons√©quence irr√©versible"
"M:O:.j.-","transformation in knowledge","transformation dans le savoir"
"j.M:O:.-","transformation on knowledge basis","transformation sur une base de savoir"
"M:M:.wa.-","practical sources of meaning","sources pratiques du sens"
"M:M:.wu.-","aesthetic sources of meaning","sources esth√©tiques du sens"
"M:M:.wo.-","intellectual sources of meaning","sources intellectuelles du sens"
"M:M:.we.-","sources of meaning in sustainability","sources du sens dans la durabilit√©"
"M:M:.U:M:.-","basis of human development into the virtual","base du d√©veloppement humain dans le virtuel"
"M:M:.A:M:.-","basis of human development into the actual","base du d√©veloppement humain dans líactuel"
"b.O:M:.-","language actualized","langage actualis√©"
"t.O:M:.-","memory actualized","m√©moire actualis√©e"
"k.O:M:.-","society actualized","soci√©t√© actualis√©e"
"m.O:M:.-","affect actualized","affect actualis√©"
"n.O:M:.-","world actualized","monde actualis√©"
"d.O:M:.-","truth actualized","v√©rit√© actualis√©e"
"f.O:M:.-","life actualized","vie actualis√©e"
"l.O:M:.-","space actualized","espace actualis√©"
"E:F:.O:O:.-","pronoun","pronom"
"E:F:.wu.-","masculine gender","genre masculin"
"E:F:.we.-","feminine gender","genre f√©minin"
"E:S:.wo.-","I | me","je | moi"
"E:B:.wo.-","you (singular)","tu | toi"
"E:T:.wo.-","it","il | lui"
"E:B:.wa.-","you (plural)","vous"
"E:T:.wa.-","them","ils | eux"
"E:T:.wu.-","he | him | them (masculine)","il | lui | eux (masculin)"
"E:F:.A:M:.-","performative mood","mode performatif"
"E:F:.a.-","promissive mood","mode promissif"
"E:F:.i.-","imperative mood","mode imp√©ratif"
"E:M:.S:M:.-","beginning","commencement"
"E:M:.B:M:.-","intermediary","interm√©diaire"
"E:M:.T:M:.-","termination","terminaison"
"O:M:.o.-we.h.-í","improve collective intelligence by augmenting governance","perfectionner líintelligence collective en augmentant la gouvernance"
"O:M:.e.-we.h.-í","improve collective intelligence by augmenting power","perfectionner líintelligence collective en augmentant le pouvoir"
"i.a.-we.h.-í","maintain infrastructure","entretenir líinfrastructure"
"t.o.-m.o.-í","hope","espoir"
"k.o.-n.o.-í","justice","justice"
"f.o.-b.o.-í","gesture | blow","geste | coup"
"l.o.-b.o.-í","composition","composition"
"l.o.-f.o.-í","dwelling","habitation"
"d.o.-f.o.-s.u.-í","empirical","empirique"
"s.e.-m.u.-wa.e.-í","play the comedy","savoir jouer (la com√©die)"
"m.a.-m.a.-f.o.-í","familiar","familier"
"M:M:.a.-M:M:.a.-f.o.-í","social actors","acteurs sociaux"
"M:M:.a.-M:M:.a.-í","social functions","fonctions sociales"
"M:M:.i.-M:M:.i.-í","technical functions","fonctions techniques"
"n.-B:.U:.-í","wood","bois"
"k.-T:.A:.-í","heavy","lourd"
"f.-T:.A:.-í","bland","fade"
"m.e.-f.a.-wa.e.-í","to provide welfare","prendre soin des autres"
"(O:+M:)(O:+M:).","Symbolic functions","Fonctions culturelles"
"U:M:.O:M:.-we.h.-í","improve collective intelligence through virtuality",NULL
"O:M:O:.S:.M:.-","test2",NULL
"A:M:.O:M:.-we.h.-í","improve collective intelligence through actuality",NULL
"s.-O:.O:.-M:.O:.-í","Noetic levels and functions","Niveaux et fonctions no√©tiques"
"s.-A:.O:.-M:.O:.-í","noetic immanence","immanence no√©tique"
"s.-U:.O:.-M:.O:.-í","noetic transcendance","transcendance no√©tique"
"s.-O:.O:.-S:.O:.-í","reason","raison"
"s.-O:.O:.-B:.O:.-í","judgement","jugement"
"s.-O:.O:.-T:.O:.-í","imagination","imagination"
"s.-O:.O:.-S:.U:.-í","essential reason","raison essentielle"
"s.-O:.O:.-S:.A:.-í","existential reason","raison existentielle"
"s.-O:.O:.-B:.U:.-í","qualitative judgement","jugement qualitatif"
"s.-O:.O:.-B:.A:.-í","quantitative judgement","jugement quantitatif"
"s.-O:.O:.-T:.U:.-í","material imagination","imagination mat√©rielle"
"s.-O:.O:.-T:.A:.-í","formal imagination","imagination formelle"
"s.-A:.A:.-M:.O:.-í","ideas level","niveau des id√©es"
"s.-A:.U:.-M:.O:.-í","acts level","niveau des actes"
"s.-U:.A:.-M:.O:.-í","objects level","niveau des objets"
"s.-U:.U:.-M:.O:.-í","facts level","niveau des faits"
"s.-U:.U:.-S:.U:.-í","enunciation: meaning","√©nonciation: sens"
"s.-U:.U:.-S:.A:.-í","enunciation: truth value","√©nonciation: valeur de v√©rit√©"
"s.-U:.U:.-B:.U:.-í","performance: relevance","performance: pertinence"
"s.-U:.U:.-B:.A:.-í","performance: felicity","performance: bonheur"
"s.-U:.U:.-T:.U:.-í","project: conditions","projet: conditions"
"s.-U:.U:.-T:.A:.-í","project: causes and effects","project: causes et effets"
"s.-A:.A:.-S:.U:.-í","concept: semantic content","concept: contenu s√©mantique"
"s.-A:.A:.-S:.A:.-í","concept: logical form","concept: forme logique"
"s.-A:.A:.-B:.U:.-í","affect: tropism","affect: tropisme"
"s.-A:.A:.-B:.A:.-í","affect: intensity","affect: intensit√©"
"s.-A:.A:.-T:.U:.-í","percept: modality","percept: modalit√©"
"s.-A:.A:.-T:.A:.-í","percept: qualia","percept: qualia"
"s.-U:.A:.-S:.U:.-í","concept: essence","concept: essence"
"s.-U:.A:.-S:.A:.-í","concept: existence","concept: existence"
"s.-U:.A:.-B:.U:.-í","affect: quality","affect: qualit√©"
"s.-U:.A:.-B:.A:.-í","affect: weight","affect: importance"
"s.-U:.A:.-T:.U:.-í","percept: background","percept: fond"
"s.-U:.A:.-T:.A:.-í","percept: foreground","percept: figure"
"s.-A:.U:.-S:.U:.-í","enunciation: illocutory force","√©nonciation: force illocutoire"
"s.-A:.U:.-S:.A:.-í","enunciation: locutory force","√©nonciation: force locutoire"
"s.-A:.U:.-B:.U:.-í","performance: choice","performance: choix"
"s.-A:.U:.-B:.A:.-í","performance: carrying out","performance: ex√©cution"
"s.-A:.U:.-T:.U:.-í","project: strategy","projet: strat√©gie"
"s.-A:.U:.-T:.A:.-í","project: tactics","projet: tactique"
"(O:+M:)(U:+M:).","groumph",NULL
"S:M:.e.-M:M:.u.-wa.e.-í +  B:M:.e.-M:M:.a.-wa.e.-í  +  T:M:.e.-M:M:.i.-wa.e.-í","competencies","comp√©tences"
"S:M:.e.-M:M:.u.-í  +  B:M:.e.-M:M:.a.-í  +  T:M:.e.-M:M:.i.-í","accomplishments","accomplissements"
"M:M:.-(O:M:.-+M:O:.-)(E:.-+s.y.-)í","Humanities and social sciences","Sciences humaines"
