t.e.-m.u.-' , représentation dramatique , dramatic representation
g.d.- , erreur de calcul , calculation mistake
E:O:.S:O:.- , mode de comparaison , manner of comparison
m.u.-d.u.-d.u.-' , maquillé , made-up
o.m.- , manquer d'empathie , to lack empathy
n.u.-b.u.-d.u.-' , proposé , proposed
E:F:S:. , moins , less
E:S:.s.- , origine , origin
t.wu.- , fil conducteur , connecting thread
E:T:.wa.- , ils | eux , them
t.a.-s.a.-f.o.-' , traducteur , translator
E:E:U:. , attribut du nom , attribute of the noun
b.i.-d.i.-' , dispositif d'affichage , display device
E:A:.O:M:.- , voix active , active voice
wa.we.- , s'endormir , to fall asleep
E:U:.e.- , capable | habilité , able | enabled
x.h.- , nouvelle obtention , new obtention
o.we.- , utiliser le droit de la famille , to use family law
wu.b.- , développer la sensibilité poétique , to develop poetic sensitivity
j.o.- , dévoilement de l'inconscient , unveiling of the unconscious
E:+B: , être fictif , fictitious being
k.u.-b.u.-d.u.-' , révélé , revealed
m.i.-s.i.-' , appât , lure
m.e.-n.a.-wa.e.-' , compétence en jugement moral , competence in moral judgement
E:U:B:. , aussi bon , as good
l.u.-d.u.-d.u.-' , échantillonné , sampled
E:T:.h.- , machine , machine
i.y.-we.h.-' , outiller la pensée , to provide tools for thought
y.f.- , intoxiquer , to intoxicate
t.o.-c.c.-s.y.-' , sciences historiques , historical sciences
n.a.-f.a.-f.o.-' , médecin , physician
t.i.-t.i.-' , dispositif d'enregistrement , recording device
k.o.-a.a.-s.y.-' , études de la société civile , civil society studies
E:F:.u.- , mode expressif , expressive mood
O:M:.f.- , affaiblir le corps , to weaken the body
d.o.-t.o.-s.u.-' , appris , learned
E:M:.f.- , terminaison dynamique , dynamic termination
s.o.-d.o.-' , humilité , humility
E:+A:+M: , réseaux actuels fictifs , fictitious actual networks
E:+A: , fiction d'actualité , fiction of actuality
c.M:M:.- , obstacle sociopolitique , socio-political obstacle
m.i.-l.i.-t.u.-' , vêtu | recouvert , clothed | covered
g.u.- , organisation des idées , organization of ideas
b.a.- , conteur , storyteller
u.n.- , se réfugier dans l'anonymat , to take refuge in anonymity
a.wa.- , créer une entreprise , to create a company
x.y.- , expérience | expérimentation , experience | experimentation
d.o.-o.o.-' , transparence financière , financial transparency
k.a.-n.a.-f.o.-' , juré , jury
B:O:. , être en mutation , being in mutation
a.c.- , accepter sa transformation , to accept one's transformation
m.o.-j.j.-s.y.-' , beaux-arts , fine arts
E:T:.y.- , a connu , has known
u.A:.- , aller , to go
h.s.- , confusion , confusion
k.i.-s.i.-' , recyclage , recycling
f.-B:.A:.-' , amer , bitter
e.y.- , faire la synthèse , to synthesize
a.t.- , imiter | plagier , to imitate | to plagiarize
E:B:.o.- , veut maintenant , want now
l.e.-m.i.-wa.e.-' , compétence en art , competence in art
M:M:.o.-O:M:.O:M:.-' , objets de connaissance A , objects of knowledge A
f.a.-t.a.-f.o.-' , assureur , insurance broker
l.-S:.A:.-' , sud spatial , spatial south
d.u.-n.u.-d.u.-' , contextuel , contextual
n.i.-l.i.-t.u.-' , collé | joint , glued | joint
g.O:O:.- , changement de message génératif , generative message change
k.o.-g.g.-s.y.-' , études du journalisme , journalism studies
n.o.-x.x.-' , crime | délit , crime | offence
m.i.-n.i.-t.u.-' , nettoyé , cleaned
y.M:O:.- , examiner les productions possibles , to consider possible productions
k.a.-l.a.-f.o.-' , syndiqué , unionized
E:A:.i.- , doit faire , be doing
s.o.-c.c.-s.y.-' , anthropologie , anthropology
T:O:.O:M:.- , condition de l'activité dans la chose , condition of activity in thing
E:M:.S:M:.- , commencement , beginning
l.o.-t.o.-' , voyage , travel
E:U:.O:M:.- , voix passive , passive voice
E:T:U:. , par nécessité logique , by logical necessity
d.o.-h.h.-s.y.-' , études des religions , religion studies
E:O:A:. , doit logique , logical must
O:O:.e.- , travailler les compétences , to work on skills
wu.we.- , vieillir , to grow old
m.i.-b.i.-' , parfum , perfume
s.a.-b.a.-f.o.-' , acteur , actor
d.-M:.O:.-' , qualité tactile , tactile quality
we.m.- , cultiver l'équilibre émotionnel , to cultivate emotional equilibrium
E:U:S:. , pire , worse
wa.h.- , approfondir le sens de l'activité , to deepen the meaning of the activity
m.o.-g.g.-s.y.-' , sondages | enquêtes d'opinion , polls | survey studies
O:O:.A:.- , contrôler l'expérience tactile , to control tactile experience
d.i.-d.i.-' , données quantitatives , quantitative data
wa.d.- , expérimenter , to experiment
b.o.-o.o.-' , représentation collective , collective representation
m.e.-b.a.-' , dialogue , dialogue
e.l.- , entreprendre une action irréaliste , to undertake an impractical act
a.S:.- , respirer , to breathe
h.M:O:.- , transformation sur base de volonté , transformation on will basis
l.a.-d.a.-' , compagnie | entreprise , company | business
s.a.- , interprète , interpreter
M:M:.e.-M:M:.A:M:.-wa.e.-' , compétences , abilities
l.e.-d.i.-' , système de coordonnées , coordinate system
f.j.- , vibration esthétique entre personnes | connexion esthétique entre personnes , aesthetic vibration between people | aesthetic connection between people
m.u.-b.u.-d.u.-' , ensorcelé , bewitched
s.e.-t.u.-' , opération arithmétique , arithmetic operation
s.O:M:.- , pensée actualisée , thought actualized
n.o.-t.o.-' , progrès , progress
d.e.-k.i.-wa.e.-' , compétence en savoir-faire commercial , competence in commercial know-how
i.O:M:.- , performer sur une base concrète , to perform on a concrete basis
M:O:.p.- , transformation dans la capacité , transformation in ability
p.g.- , nouveau jugement , new judgement
we.wo.- , naître , to be born
t.i.-b.i.-t.u.-' , informatif , informative
b.e.-n.u.-' , vie littéraire , literary life
c.p.- , évolution de l'offre , evolution of the offer
k.e.-d.a.-wa.e.-' , compétence en reconnaissance des faits , competence in acknowledging the facts
wa.u.- , trouver l'information | indiquer l'information , to find information | to show information
n.o.-j.j.-s.y.-' , cosmologie , cosmology
n.u.-n.u.-' , question , question
m.wo.- , appel de l'inconnu , appeal of the unknown
i.d.- , dérégler | détraquer , to break down mechanism | to wreck
n.e.-s.a.-wa.e.-' , compétence en indication du sens à  un groupe , competence in giving meaning to a group
we.T:.- , poser des fondations | poser une base immuable isoler du mouvement , to create foundations | to create an unmovable base to insulate from movement
t.p.- , accumulation | gain | bénéfice , accumulation | gain | benefit
b.o.-e.e.-s.y.-' , sc. de l'éduc. et de la formation , education and training studies
h.f.- , rupture , break-up
f.o.-l.o.-' , organisation , organisation
wo.n.- , changer de représentation du monde , to change world representation
d.e.-m.i.-' , code physique | code vestimentaire , body code | dress code
l.i.-l.i.-' , réseau , network
U:O:. , générer à  partir du virtuel , generate from the virtual
l.a.-l.a.-f.o.-' , guerrier , warrior
E:S:.o.- , voudra , will want
M:M:.o.-M:O:.M:O:.-' , objets de connaissance B , objects of knowledge B
o.i.- , poser une candidature , to make an application
l.u.-b.u.-d.u.-' , transcrit , transcribed
t.a.-l.a.-' , archive , archive
g.h.- , changement d'idées , change of ideas
E:U:.a.- , engagé , committed
l.o.- , organisation de l'espace , space organization
e.e.-we.h.-' , résoudre les problèmes , to solve problems
E:M:.B:M:.- , intermédiaire , intermediary
E:F:O:. , stratégie logique , logical strategy
d.a.-m.a.-' , descendance , descendants
s.i.-m.i.-' , robot | mécanisme , robot | mechanism
k.a.-n.a.-' , tribunal , tribunal
l.o.-g.g.-s.y.-' , études du tourisme | hôtellerie | études de la restauration , tourism studies | hotel studies | restaurant studies
b.o.-c.c.-' , flux d'information , information flux
m.o.-m.o.-' , amour , love
f.u.-l.u.-d.u.-' ,  âgé , aged
k.u.-d.u.-d.u.-' , illuminé , illuminated
j.b.- , redondance , redundancy
l.o.-y.y.-' , objet présenté , presented object
t.o.-s.o.-s.u.-' , futur , future
f.u.-f.u.-' , illusion , illusion
l.i.-n.i.-t.u.-' , découpé | percé , cut | pierced
t.e.-d.u.-wa.e.-' , compétence en architecture d'information , competence in information architecture
m.e.-s.a.-' , enseignements d'autrui , teachings from others
n.o.-f.o.-s.u.-' , sain | en santé , healthy
p.x.- , échange , exchange
wu.s.- , développer la sensibilité intellectuelle , to develop intellectual sensitivity
l.o.-f.o.-' , habitation , dwelling
